"eid"	"prism.doi"	"pii"	"dc.title"	"prism.coverDate"	"prism.volume"	"prism.pageRange"	"dc.creator"	"citedby.count"	"article.number"	"source.id"	"pubmed.id"	"dc.identifier"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"dominant_topic"	"eid"	"pii"	"neg"	"neu"	"pos"	"compound"	"eid"	"pii"	"year"
"2-s2.0-0005772087"	"10.1016/0047-2484(91)90015-N"	"004724849190015N"	"A Middle Pleistocene wooden plank with man-made polish"	"1991-01-01"	20	"349-353"	"Belitzky S."	31	NA	18927	NA	"SCOPUS_ID:0005772087"	0	0.28	0	0	0	0	0.69	0.03	0	0	6	"2-s2.0-0005772087"	"004724849190015N"	0.036	0.921	0.043	0.8514	"2-s2.0-0005772087"	"004724849190015N"	"1991"
"2-s2.0-0016695429"	"10.1016/0047-2484(75)90087-1"	"47248475900871"	"Functional proportions of primate lumbar vertebral bodies"	"1975-01-01"	4	"21-38"	"Rose M."	50	NA	18927	NA	"SCOPUS_ID:0016695429"	0	0	0.06	0.21	0	0	0	0.72	0	0	7	"2-s2.0-0016695429"	"47248475900871"	0.025	0.869	0.106	0.9998	"2-s2.0-0016695429"	"47248475900871"	"1975"
"2-s2.0-84962495130"	"10.1016/j.jhevol.2016.02.006"	"S0047248416000300"	"Bipedality and hair loss in human evolution revisited: The impact of altitude and activity scheduling"	"2016-05-01"	94	"72-82"	"Dávid-Barrett T."	17	NA	18927	27178459	"SCOPUS_ID:84962495130"	0	0.29	0.02	0.47	0	0	0.03	0	0	0.19	3	"2-s2.0-84962495130"	"S0047248416000300"	0.045	0.857	0.099	0.9999	"2-s2.0-84962495130"	"S0047248416000300"	"2016"
"2-s2.0-84979294077"	"10.1016/j.jhevol.2016.05.010"	"S0047248416300355"	"Dietary ecology of fossil Theropithecus: Inferences from dental microwear textures of extant geladas from ecologically diverse sites"	"2016-10-01"	99	"1-9"	"Shapiro A."	8	NA	18927	27650577	"SCOPUS_ID:84979294077"	0	0.34	0	0	0.02	0.57	0	0	0.01	0.06	5	"2-s2.0-84979294077"	"S0047248416300355"	0.029	0.896	0.075	0.9998	"2-s2.0-84979294077"	"S0047248416300355"	"2016"
"2-s2.0-0016766956"	"10.1016/0047-2484(75)90017-2"	"47248475900172"	"Biomechanical interpretation of the early hominid hip"	"1975-01-01"	4	"343-355"	"McHenry H."	54	NA	18927	NA	"SCOPUS_ID:0016766956"	0	0	0.06	0.66	0.26	0	0	0.02	0	0	3	"2-s2.0-0016766956"	"47248475900172"	0.025	0.86	0.115	0.9999	"2-s2.0-0016766956"	"47248475900172"	"1975"
"2-s2.0-85044267725"	"10.1016/j.jhevol.2017.12.001"	"S0047248417302269"	"Evidence for rapid faunal change in the early Miocene of East Africa based on revised biostratigraphic and radiometric dating of Bukwa, Uganda"	"2018-03-01"	116	"95-107"	"Cote S."	4	NA	18927	29477184	"SCOPUS_ID:85044267725"	0	0.87	0	0	0	0	0.04	0.07	0.02	0	1	"2-s2.0-85044267725"	"S0047248417302269"	0.019	0.93	0.05	0.9996	"2-s2.0-85044267725"	"S0047248417302269"	"2018"
"2-s2.0-84959431626"	"10.1016/j.jhevol.2016.01.010"	"S0047248416000245"	"A dental perspective on the taxonomic affinity of the Balanica mandible (BH-1)"	"2016-04-01"	93	"63-81"	"Skinner M."	21	NA	18927	27086056	"SCOPUS_ID:84959431626"	0.51	0	0	0	0.01	0.04	0	0	0.44	0	0	"2-s2.0-84959431626"	"S0047248416000245"	0.021	0.915	0.064	0.9998	"2-s2.0-84959431626"	"S0047248416000245"	"2016"
"2-s2.0-38249030071"	"10.1016/0047-2484(88)90055-3"	"47248488900553"	"Pedal evidence for the origin and diversification of cercopithecid clades"	"1988-01-01"	17	"225-245"	"Strasser E."	59	NA	18927	NA	"SCOPUS_ID:38249030071"	0	0	0	0	0	0	0	0.99	0	0.01	7	"2-s2.0-38249030071"	"47248488900553"	0.032	0.894	0.074	0.9998	"2-s2.0-38249030071"	"47248488900553"	"1988"
"2-s2.0-84923348955"	"10.1016/j.jhevol.2014.10.013"	"S0047248414002589"	"How old are the Bose (Baise) Basin (Guangxi, southern China) bifaces? The Australasian tektites question revisited"	"2015-03-01"	80	"171-174"	"Wang W."	19	NA	18927	25481630	"SCOPUS_ID:84923348955"	0	0.35	0.14	0	0	0	0.51	0	0	0	6	"2-s2.0-84923348955"	"S0047248414002589"	0.045	0.892	0.064	0.9916	"2-s2.0-84923348955"	"S0047248414002589"	"2015"
"2-s2.0-85092666300"	"10.1016/j.jhevol.2020.102883"	"S0047248420301445"	"Site formation processes at Manot Cave, Israel: Interplay between strata accumulation in the occupation area and the talus"	"2020-01-01"	NA	"xx-xx"	"Berna F."	2	102883	18927	NA	"SCOPUS_ID:85092666300"	0	0	0	0	0	0	1	0	0	0	6	"2-s2.0-85092666300"	"S0047248420301445"	0.025	0.912	0.063	0.9998	"2-s2.0-85092666300"	"S0047248420301445"	"2020"
"2-s2.0-84920487352"	"10.1016/j.jhevol.2014.02.024"	"S0047248414002073"	"Nutrition, modernity and the archaeological record: Coastal resources and nutrition among Middle Stone Age hunter-gatherers on the western Cape coast of South Africa"	"2014-12-01"	77	"64-73"	"Kyriacou K."	37	NA	18927	25440132	"SCOPUS_ID:84920487352"	0	0.03	0.11	0.02	0	0	0.41	0	0	0.43	9	"2-s2.0-84920487352"	"S0047248414002073"	0.03	0.889	0.081	0.9998	"2-s2.0-84920487352"	"S0047248414002073"	"2014"
"2-s2.0-0021277456"	"10.1016/S0047-2484(84)80084-6"	"S0047248484800846"	"Can sociobiology contribute to moral science and ethics?"	"1984-01-01"	13	"137-147"	"Musschenga A."	2	NA	18927	NA	"SCOPUS_ID:0021277456"	0	0	0.88	0	0	0	0	0	0	0.12	2	"2-s2.0-0021277456"	"S0047248484800846"	0.083	0.765	0.153	0.9998	"2-s2.0-0021277456"	"S0047248484800846"	"1984"
"2-s2.0-0005590717"	"10.1016/S0047-2484(82)80027-4"	"S0047248482800274"	"Chimpocentrism: Bias in cognitive ethology"	"1982-01-01"	11	"3-17"	"Beck B."	37	NA	18927	NA	"SCOPUS_ID:0005590717"	0	0	0.06	0	0	0	0.14	0	0	0.8	9	"2-s2.0-0005590717"	"S0047248482800274"	0.084	0.809	0.107	0.9995	"2-s2.0-0005590717"	"S0047248482800274"	"1982"
