"timebin"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"
"1972-1976"	"5"	"4"	"185"	"5"	"14"	"0"	"5"	"12"	"6"	"37"
"1977-1981"	"7"	"18"	"236"	"10"	"11"	"4"	"3"	"14"	"13"	"30"
"1982-1986"	"7"	"14"	"167"	"19"	"13"	"8"	"16"	"20"	"6"	"62"
"1987-1991"	"7"	"41"	"27"	"16"	"21"	"6"	"31"	"47"	"24"	"21"
"1992-1996"	"37"	"63"	"16"	"32"	"18"	"31"	"17"	"36"	"9"	"22"
"1997-2001"	"86"	"46"	"19"	"23"	"18"	"23"	"49"	"37"	"15"	"17"
"2002-2006"	"27"	"57"	"18"	"48"	"31"	"60"	"64"	"38"	"33"	"23"
"2007-2011"	"57"	"77"	"15"	"45"	"32"	"71"	"170"	"55"	"58"	"35"
"2012-2016"	"49"	"80"	"26"	"53"	"29"	"76"	"162"	"59"	"49"	"48"
"2017-2021"	"43"	"76"	"10"	"62"	"36"	"48"	"140"	"56"	"52"	"40"
