neg,neu,pos,compound,eid,pii
0.036,0.921,0.043,0.8514,2-s2.0-0005772087,004724849190015N
0.025,0.869,0.106,0.9998,2-s2.0-0016695429,47248475900871
0.045,0.857,0.099,0.9999,2-s2.0-84962495130,S0047248416000300
0.029,0.896,0.075,0.9998,2-s2.0-84979294077,S0047248416300355
0.025,0.86,0.115,0.9999,2-s2.0-0016766956,47248475900172
0.019,0.93,0.05,0.9996,2-s2.0-85044267725,S0047248417302269
0.021,0.915,0.064,0.9998,2-s2.0-84959431626,S0047248416000245
0.032,0.894,0.074,0.9998,2-s2.0-38249030071,47248488900553
0.045,0.892,0.064,0.9916,2-s2.0-84923348955,S0047248414002589
0.025,0.912,0.063,0.9998,2-s2.0-85092666300,S0047248420301445
0.03,0.889,0.081,0.9998,2-s2.0-84920487352,S0047248414002073
0.083,0.765,0.153,0.9998,2-s2.0-0021277456,S0047248484800846
0.084,0.809,0.107,0.9995,2-s2.0-0005590717,S0047248482800274
0.042,0.91,0.047,-0.128,2-s2.0-84996118325,S0047248481800607
0.041,0.932,0.027,-0.9931,2-s2.0-0036836010,S0047248402905956
0.031,0.901,0.069,0.9933,2-s2.0-0017029797,47248476900014
0.023,0.853,0.124,1.0,2-s2.0-85016418600,S0047248417300891
0.004,0.958,0.039,0.9847,2-s2.0-0030975149,S0047248496901177
0.036,0.903,0.061,0.9922,2-s2.0-0022403951,S0047-2484(85)80075-0
0.043,0.89,0.067,0.9992,2-s2.0-79956146924,S0047248411000649
0.008,0.911,0.082,0.9982,2-s2.0-0032890515,S0047248498902627
0.024,0.903,0.073,0.9999,2-s2.0-55749087228,S0047248408001632
0.005,0.946,0.048,0.9666,2-s2.0-0028852312,S0047248485710056
0.034,0.915,0.051,0.9994,2-s2.0-85081248279,S0047248420300038
0.02,0.933,0.047,0.9816,2-s2.0-0034115986,S0047248499903834
0.075,0.791,0.135,0.9996,2-s2.0-0021262833,S0047248484800779
0.025,0.897,0.078,1.0,2-s2.0-85073591797,S0047248419300685
0.035,0.897,0.068,0.9962,2-s2.0-0022297822,S0047248485800506
0.049,0.845,0.106,0.9998,2-s2.0-0016754366,0047-2484(75)90010-X
0.03,0.864,0.105,0.9988,2-s2.0-0018100946,S0047248478800062
0.041,0.892,0.067,0.9979,2-s2.0-77952741388,S0047248410000436
0.031,0.911,0.058,0.9996,2-s2.0-85062263428,S0047248418303002
0.044,0.866,0.089,0.9982,2-s2.0-0017066708,47248476900385
0.036,0.907,0.057,0.9998,2-s2.0-85057129344,S0047248417303585
0.033,0.892,0.074,0.9999,2-s2.0-84919628859,S0047248414002474
0.017,0.918,0.065,0.9998,2-s2.0-33746265444,S0047248406000364
0.024,0.897,0.078,0.9999,2-s2.0-84865557438,S0047248412001169
0.018,0.909,0.073,0.9998,2-s2.0-84919665294,S0047248414002024
0.031,0.921,0.049,0.9983,2-s2.0-1542416406,S0047248482800389
0.05,0.869,0.081,0.9992,2-s2.0-84937971930,S0047248415000548
0.019,0.889,0.092,0.9999,2-s2.0-84944174527,S0047248415001359
0.012,0.926,0.063,0.9996,2-s2.0-0025995192,004724849190043U
0.025,0.888,0.087,0.9999,2-s2.0-84884594740,S0047248413001711
0.008,0.954,0.039,0.9916,2-s2.0-0035998890,S0047248402905452
0.021,0.93,0.049,0.9996,2-s2.0-0001171685,47248487900200
0.033,0.868,0.099,0.9943,2-s2.0-0018378728,47248479900897
0.041,0.847,0.113,1.0,2-s2.0-0023571912,47248487900650
0.036,0.886,0.078,1.0,2-s2.0-70449107246,S0047248409000876
0.04,0.9,0.06,0.9966,2-s2.0-0001666237,47248488900292
0.015,0.952,0.034,0.9812,2-s2.0-0033369278,S0047248499903160
0.012,0.892,0.096,0.9996,2-s2.0-33747071792,S0047248406000558
0.027,0.92,0.053,0.9919,2-s2.0-84855204028,S004724841100217X
0.011,0.959,0.031,0.9823,2-s2.0-0036008039,S0047248401905172
0.03,0.896,0.074,0.9998,2-s2.0-0021174723,S0047-2484(84)80008-1
0.01,0.914,0.076,0.9997,2-s2.0-85088781014,S0047248420301111
0.026,0.91,0.065,0.9999,2-s2.0-84884588766,S0047248413001838
0.024,0.939,0.038,0.9901,2-s2.0-0018195006,S0047248478800074
0.029,0.909,0.063,0.9997,2-s2.0-78149408110,S0047248410001661
0.054,0.836,0.11,0.9998,2-s2.0-0016319593,47248474900177
0.026,0.912,0.062,0.9998,2-s2.0-85015680542,S0047248417300350
0.018,0.885,0.096,0.9992,2-s2.0-0016172287,47248474901766
0.026,0.896,0.078,1.0,2-s2.0-85061191455,S004724841730444X
0.015,0.917,0.068,0.9999,2-s2.0-84960102467,S0047248416000087
0.024,0.873,0.103,0.9976,2-s2.0-0019179057,47248480900925
0.021,0.933,0.046,0.9998,2-s2.0-85066277444,S004724841830229X
0.01,0.932,0.058,0.9862,2-s2.0-0031607158,S0047248497901871
0.057,0.881,0.062,0.4215,2-s2.0-0017565270,S0047248477801024
0.0,0.905,0.095,0.9846,2-s2.0-0027387156,S004724848371016X
0.032,0.914,0.053,0.9981,2-s2.0-84899101190,S0047248414000633
0.013,0.958,0.029,0.9612,2-s2.0-0034749890,S0047248401904919
0.024,0.872,0.103,1.0,2-s2.0-77954213626,S0047248410000709
0.021,0.924,0.055,0.9996,2-s2.0-0038544503,S0047248403000125
0.01,0.835,0.154,0.9998,2-s2.0-51349163155,S0047248408000432
0.014,0.929,0.057,0.9993,2-s2.0-33947519085,S0047248406002089
0.029,0.92,0.051,0.9911,2-s2.0-56149121454,S0047248408000961
0.009,0.882,0.109,0.9922,2-s2.0-0028313823,S0047248484710116
0.069,0.773,0.157,0.9995,2-s2.0-0021829943,S004724848580049X
0.033,0.902,0.066,0.9982,2-s2.0-8644261199,S004724848180005X
0.033,0.94,0.027,-0.4767,2-s2.0-49649143718,47248472900929
0.032,0.913,0.055,0.9999,2-s2.0-85102125691,S0047248421000087
0.037,0.904,0.059,0.9939,2-s2.0-0022260263,S0047248485800269
0.016,0.87,0.114,1.0,2-s2.0-84859158103,S0047248412000152
0.0,0.918,0.082,0.9866,2-s2.0-0028194061,S0047248484710268
0.034,0.888,0.077,0.9956,2-s2.0-0018129402,S0047248478800189
